lemma,form,tag,translation_ru,translation_en
бежери,еж,"pst_a,imp_o,initial_aggr","печь, жарить","bake, fry"
вергъери,ергъ,"pst_a,initial_aggr",шевелиться,move
авдери,авд,pst_i,мяукать,meow
анлъери,анлъ,pst_i,слышать,
бакъакъери,бакъакъ,pst_i,"крошить, резать на куски",cut to pieces
бекьери,бекь,pst_i,пахать,
бурери,бур,pst_i,лететь,fly (vb)
бутIийдери,бутIийд,pst_i,совокупляться,have sexual intercourse
велълъери,велълъ,pst_i,смеяться,
гIэбчишери,гIэбчиш,pst_i,чихать,sneeze (v)
геллери,гелл,pst_i,висеть,"hang (v, intr)"
гъурери,гъур,pst_i,скользить,
гьагьакьери,гьагьакь,pst_i,зевать,"yawn, gape (v)"
гьеллери,гьелл,pst_i,бегать,
гьинкушери,гьинкуш,pst_i,мочиться,urinate
гьиъассордери,гьиъассорд,pst_i,кружиться (в танце),"whirl (v, intr, during dance)"
гьиъассорери,гьиъассор,pst_i,крутить (колесо),"rotate (v, tr, wheel)"
гьуммедери,гьуммед,pst_i,мычать,
джабери,джаб,pst_i,убивать,kill
зигардери,зигард,pst_i,стонать,
кIарери,кIар,pst_i,блевать,vomit
кIурдери,кIурд,pst_i,капать (неперех.),"drip (v, intr)"
коллери,колл,pst_i,плавать,swim
къаммери,къамм,pst_i,кусать,bite
къиннери,къинн,pst_i,жадничать,
къиркъидери,къиркъид,pst_i,скрипеть,
ламмери,ламм,pst_i,лизать,lick
релIери,релI,pst_i,"идти (о дожде, снеге)","rain, snow"
ссорери,ссор,pst_i,поворачиваться,turn (intr.)
таннери,танн,pst_i,рваться (о верёвке),"tear (v, intr, of rope)"
тудери,туд,pst_i,плевать,spit
турери,тур,pst_i,гнить,
уᵸъуᵸдери,уᵸъуᵸд,pst_i,кукарекать,
ухIудери,ухIуд,pst_i,кашлять,cough (v)
хIихIидери,хIихIид,pst_i,ржать,
ххомери,ххомм,pst_i,храпеть,snore
хъобери,хъоб,pst_i,испражняться,defecate
цIикIкIулъери,цIикIкIулъ,pst_i,свертываться (о молоке),"curdle (v, intr, of milk)"
цIиннери,цIинн,pst_i,знать,know
чIчIарери,чIчIар,pst_i,поскользнуться,
чабери,чаб,pst_i,"сыпаться, течь","pour (intr), flow"
шаннери,шанн,pst_i,отдыхать,rest
барийдери,барийд,"pst_i,imp_o",точить (нож),"whet (v, tr, tool)"
баъери,баъ,"pst_i,imp_o",читать,
берчIери,берчI,"pst_i,imp_o",доить,milk (v)
джабери,джаб,"pst_i,imp_o",ударять (однократно),hit (once)
джидери,джид,"pst_i,imp_o",делать,do
ирери,ир,"pst_i,imp_o",вздрагивать,
ихохъери,ихохъ,"pst_i,imp_o",молоть муку,"crush, grind (flour)"
кIаммери,кIамм,"pst_i,imp_o",есть (неперех.),eat
кIвкIварери,кIвкIвар,"pst_i,imp_o",месить,
каннери,канн,"pst_i,imp_o",тесать,hew
кудери,куд,"pst_i,imp_o","просеивать, процеживать (при готовке)","sieve, strain (v, for cooking), sift"
кусдери,кусд,"pst_i,imp_o",искать,
къиннери,къинн,"pst_i,imp_o",мять,
къирери,къир,"pst_i,imp_o",стричь,
кьанери,кьан,"pst_i,imp_o",дышать,breathe
кьаннери,кьанн,"pst_i,imp_o",тянуть (за что-л.),pull (v)
лIарери,лIар,"pst_i,imp_o",подметать,sweep
ламмери,ламм,"pst_i,imp_o",лизать,lick
лолитIамери,лолитIам,"pst_i,imp_o",молотить,thresh
лъуннери,лъунн,"pst_i,imp_o",сморкаться,
лъурери,лъур,"pst_i,imp_o",трясти,shake
пудери,пуд,"pst_i,imp_o",дуть (о человеке),"blow (v, of person)"
рихъери,рихъ,"pst_i,imp_o",царапать,
сагъидери,сагъид,"pst_i,imp_o","лечить, исцелять","cure, heal"
тIиннери,тIинн,"pst_i,imp_o",лить,pour
тантайайдери,тантайайд,"pst_i,imp_o",рвать,tear
ханнери,ханн,"pst_i,imp_o",косить (траву),"mow (v, grass)"
хварери,хвар,"pst_i,imp_o",копать,dig
хханнери,хханн,"pst_i,imp_o",косить,
хъалбухери,хъалбух,"pst_i,imp_o","чистить, отчищать (овощи, фрукты)","peel (v, tr, of fruit)"
хъварери,хъвар,"pst_i,imp_o",писать,write
хъеллери,хъелл,"pst_i,imp_o","чесаться (при зуде), чесать, царапать","itch (v), scratch (v) "
хъурери,хъур,"pst_i,imp_o","тащить, волочить",drag (v)
цIцIадери,цIцIад,"pst_i,imp_o",пить,drink
цIцIимми,цIцIимм,"pst_i,imp_o",щипать,pinch
цIцIуннери,цIцIунн,"pst_i,imp_o",сосать,
чIаммери,чIамм,"pst_i,imp_o","жевать, грызть","chew (v), gnaw (v)"
чIиннери,чIинн,"pst_i,imp_o","бить, избивать (человека)",beat (of human)
ччаннери,ччанн,"pst_i,imp_o",тереть (рукой),"rub (v, by hand)"
